1.18182,2,8,6.81818,0.147727,0.818182,0.590909,24,2,48,22,3,45,19
1.54545,6,21,27.4545,0.0532915,0.454545,0.772727,64,1,35,17,3,47,22
1.09091,1,20,47.9091,0.0222635,0.909091,0.545455,49,1,56,28,4,47,23
1.18182,2,9,56.8182,0.0203762,0.818182,0.590909,41,1,46,22,2,47,23
1.36364,4,35,91.6364,0.0146628,0.636364,0.681818,79,1,44,21,10,61,32
1.18182,2,30,121.818,0.00960828,0.818182,0.590909,1,5,35,17,1,56,27
1.54545,6,22,143.455,0.0106583,0.454545,0.772727,78,3,36,18,3,46,21
1.45455,5,5,148.545,0.00969697,0.545455,0.727273,10,2,40,18,1,42,20
1,0,5,154,0.00645161,1,0.5,38,3,44,19,1,44,20
1.81818,9,47,200.182,0.0090009,0.181818,0.909091,83,1,53,25,2,55,25
1.45455,5,10,210.545,0.00686106,0.545455,0.727273,7,2,40,18,1,42,19
2,11,35,245,0.00809717,-2.98023e-08,1,85,1,46,23,4,50,24
1.18182,2,19,264.818,0.00444293,0.818182,0.590909,59,3,50,25,2,53,23
1.36364,4,22,286.636,0.00473485,0.636364,0.681818,53,2,57,29,2,42,18
1.18182,2,17,303.818,0.00387481,0.818182,0.590909,68,3,50,23,3,34,16
1.36364,4,30,333.636,0.00407056,0.636364,0.681818,72,2,46,21,3,47,23
1.90909,10,33,366.091,0.00518775,0.0909091,0.954545,54,1,47,23,2,46,21
1.27273,3,13,379.727,0.00334049,0.727273,0.636364,99,3,55,26,3,43,18
1.18182,2,22,401.818,0.00293255,0.818182,0.590909,75,2,44,23,1,51,27
1.72727,8,42,443.273,0.00388151,0.272727,0.863636,39,4,48,23,2,55,25
1.18182,2,39,482.818,0.00244177,0.818182,0.590909,58,3,53,26,3,61,31
1.72727,8,36,518.273,0.00332168,0.272727,0.863636,99,1,53,25,1,43,19
1.72727,8,45,563.273,0.00305712,0.272727,0.863636,63,4,47,24,2,58,32
1.45455,5,16,579.545,0.00250352,0.545455,0.727273,46,3,44,21,3,36,17
1.27273,3,29,608.727,0.00208644,0.727273,0.636364,0,2,50,22,2,54,24
1.09091,1,27,635.909,0.00171257,0.909091,0.545455,28,2,49,23,3,53,25
1.45455,5,21,656.545,0.00221056,0.545455,0.727273,17,6,59,30,2,41,19
1.81818,9,11,667.182,0.00271776,0.181818,0.909091,70,1,40,18,1,42,19
1.54545,6,22,689.455,0.00223655,0.454545,0.772727,25,2,49,23,2,31,16
1.09091,1,15,704.909,0.0015452,0.909091,0.545455,7,3,43,19,3,48,22
1.54545,6,29,733.455,0.00210266,0.454545,0.772727,87,2,39,19,1,50,22
1.36364,4,31,764.636,0.0017802,0.636364,0.681818,72,1,45,22,1,46,21
1.09091,1,14,778.909,0.0013986,0.909091,0.545455,43,2,40,19,2,53,24
1.63636,7,33,811.364,0.00201275,0.363636,0.818182,48,4,45,22,4,44,24
1.63636,7,39,850.364,0.00192061,0.363636,0.818182,29,5,48,22,2,52,23
1.36364,4,23,873.636,0.00155844,0.636364,0.681818,87,3,44,21,5,49,21
1.54545,6,34,907.455,0.00170017,0.454545,0.772727,93,1,54,26,5,41,18
1.18182,2,27,934.818,0.00126263,0.818182,0.590909,13,5,54,26,1,52,24
1.18182,2,16,950.818,0.00124141,0.818182,0.590909,89,1,41,18,2,40,19
1.18182,2,15,965.818,0.00122215,0.818182,0.590909,95,2,52,25,3,40,20
1.18182,2,20,985.818,0.00119738,0.818182,0.590909,71,2,31,16,4,50,23
1.54545,6,34,1019.45,0.00151367,0.454545,0.772727,3,1,47,23,1,43,20
1.45455,5,36,1055.55,0.00137611,0.545455,0.727273,98,2,56,28,2,49,22
1.18182,2,23,1078.82,0.00109428,0.818182,0.590909,32,2,40,19,1,43,19
1.72727,8,31,1109.27,0.0015547,0.272727,0.863636,77,2,44,20,1,47,21
2,11,33,1142,0.00174825,-2.98023e-08,1,69,3,41,20,3,49,24
1.72727,8,13,1155.27,0.00149289,0.272727,0.863636,23,3,41,19,1,32,16
1.27273,3,27,1182.73,0.00107494,0.727273,0.636364,17,4,51,23,1,39,17
1.45455,5,26,1208.55,0.0012021,0.545455,0.727273,28,4,49,23,2,51,23
1.45455,5,28,1236.55,0.00117492,0.545455,0.727273,2,1,57,28,3,42,18
1.27273,3,19,1255.73,0.00101251,0.727273,0.636364,4,5,39,18,1,53,24
1.63636,7,26,1281.36,0.00127542,0.363636,0.818182,84,3,44,22,2,40,17
1.36364,4,12,1293.64,0.001053,0.636364,0.681818,59,4,53,27,1,44,19
1.27273,3,32,1325.73,0.000959101,0.727273,0.636364,13,2,59,31,1,51,22
1.54545,6,19,1344.45,0.00114818,0.454545,0.772727,16,1,46,22,3,33,16
1.18182,2,10,1354.82,0.000871547,0.818182,0.590909,71,2,34,17,3,36,17
1.36364,4,6,1360.64,0.0010012,0.636364,0.681818,82,2,43,21,1,38,17
1.09091,1,9,1369.91,0.000795703,0.909091,0.545455,3,3,43,20,2,36,17
